,Reviewer_designation,Job_Title,Employee_Status,City,State,Full_Location,Date,Title,Comment,Pros,Cons,User_Rating,Company
74,Personal Shopper (Former  Employee),Personal Shopper ,Former Employee, Providence, RI ," Providence, RI "," December 16, 2021","Okay place, flexible",This job was decent. The job itself (shopper) was very straight forward but other workers would make it stressful at times. Safety was also an issue (I'm not sure how well I would make it out of a fire/natural disaster if that were to happen). It was nice not having a manager constantly monitor you but at the same time management was difficult to contact.,"Free merch, straightforward job","safety, pay, shift availability",2,Amazon.com
75,N/A (Former  Employee),N/A ,Former Employee, Richmond, VA ," Richmond, VA "," December 16, 2021",Productive and fun workplace,Lots of opportunities for growth. Great leaders with awesome work ethics. They met you sinks or swim on your own. Lots of advancements opportunities,Advancement opportunities,None,4,Amazon.com
76,Fulfillment Center Associate (Former  Employee),Fulfillment Center Associate ,Former Employee, Eastvale, CA ," Eastvale, CA "," December 16, 2021","Good thing about this company is probably the PPE. Unlike some companies, it's never in short supply.","I worked in inbound stow. Typical day at work would be to come in, get together and stretch during stand up. Then go to a station sign and and start scanning into containers so the kiva bots start bringing you pods to stow in. The first three pods you get are always random, but the ones after ""try"" to match the size of the items of the containers you are scanned into. You'll then scan the container label (if you're not already scanned into it) and then the items label. Store the item in a bin and scan the bin you stored the item in. Rinse and repeat.","If you've been there for a while and know the ins and outs of your department, you can easily make rate and get by effortlessly.",New hires; receive minimal training.,1,Amazon.com
77,Senior Catalog Associate (Former  Employee),Senior Catalog Associate ,Former Employee, Chennai , Chennai , Chennai ," December 16, 2021",Good company to work,Excellent company culture with all perks & benefits. Flexible timing hours with day out In a month fun activity it is actually a great working place ., , ,4,Amazon.com
78,Warehouse Associate (Former  Employee),Warehouse Associate ,Former Employee, Moreno Valley, CA ," Moreno Valley, CA "," December 16, 2021",No much good to say.,"Amazon is not a place for you to seek a career if you start as a warehouse associate. You’ll be working on your feet the entire shift and will be frustrated to see your best work and speed still be considered “under the base productivity rate”. Mind you that I personally had a great daily and hourly work rate. You’ll be frustrated about the breaks cut short because you have to rush to your station timely. The tax deductions on any bonuses given to you will be about half of the bonus itself and the mandatory overtime will definitely cut into your personal life, family time and second job expectations and focus. Although the company states that they support your academic goals and finance them if they fall into their requirements, management and HR will quickly show you otherwise, by telling you that you that in order for you to keep the job and fulfill your shift schedule “no time or shift change exceptions will be provided”.",They are neat about overtime pay and PTO.,"Working on your feet an entire shift rushing to “make rate”, while the never accessed your resume and talent, but keep on placing you as a warehouse associate only.",1,Amazon.com
79,Driver (Current  Employee),Driver ,Current Employee, Carlstadt, NJ ," Carlstadt, NJ "," December 16, 2021","AMAZON company is horrible, but the experience with your specific DSP CAN be great.","Horrible workplace culture, competitive pay. Overload work with no regard for employees. Always overtime available. Extremely active job. Not much space for advancement.",Pay,Everything else,3,Amazon.com
80,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, SMF5 , SMF5 , SMF5 ," December 16, 2021",Flexible schedule but rude and lazy co-workers.,"Most people working for Amazon SMF5 are more interested in talking than working. So you will find yourself working hard, sweating and hurting your back while your co-workers stop and talk for 15 minutes at a time. Management is a mixed bag of manipulators, authoritarians and passive permissive weaklings. The learning ambassadors are lazy people that walk around talking all day while they watch us regular employess working hard. The learning team hardly jumps in to help, even during peak times. The safety team also just walks around talking all day and pretending to be filling out their audits. Human resources hardly ever knows whats going on and many in the HR team can't seem to resolve anything more than basic issues. During peak season I experienced being yelled at by co-workers and even a learning ambassador. People who work for SMF5 are mainly slow-moving, lazy people who feel entitled to their jobs and give 10% effort during the five-hour peak shift. All the hard-working individuals seem to have to pick up the slack and make up for the lazy majority. Process managers are constantly moving people around, which is okay, but sometimes their choices backfires and an area falls behind. The stretching before each shift is a joke! Amazon impliments these pre-work stretches to avoid lawsuits. The older workers are usually unable to perform the job they are given but some how they are able to continue their employment with Amazon.",Paid weekly.,Lazy co-workers and inexperienced and passive managers.,3,Amazon.com
81,Process Guide (Current  Employee),Process Guide ,Current Employee, Salem, OR ," Salem, OR "," December 15, 2021",It’s ok,"amazon will hire anyone. hard work, ok pay, bad leaders. favoritism is rampant. Injury is just part of the job. Rate mean everything, associates are nothing.",no interview,amazon will hire anyone,1,Amazon.com
82,Warehouse Worker (Current  Employee),Warehouse Worker ,Current Employee, Bakersfield, CA ," Bakersfield, CA "," December 15, 2021",Productive,"It’s a very good job, I like what I do. Management is great for me . Parking is a bit of a struggle but other than the parking issues . It’s a great work environment.",Benefits,Parking,5,Amazon.com
83,Packer/Shipper (Current  Employee),Packer/Shipper ,Current Employee, Indianapolis, IN ," Indianapolis, IN "," December 15, 2021",Productive and Fun,"Good place to work. Like the job and management. Absolutely, no complaints here. Appreciate all the help I can and continue to get. I like working at Amazon.", , ,5,Amazon.com
84,FC Associate 1 (Former  Employee),FC Associate 1 ,Former Employee, Bolton, ON ," Bolton, ON "," December 15, 2021",Fun place to work and meet friends with different back grounds and culture.,"Amazon Bolton is a good place to work. I felt I belong to a family. Loved working there not only to earn money, but the work I do is very challenging, made me physically and mentally active.",More incentives; more give aways to employees.,"Long hours, but you can use your Personal Time Off to shorten your hours.",4,Amazon.com
